"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"37","NM_032604","NR_030587","HGNC:17553","HGNC:33642","0","0","0","0","0","0","0","0","0",0
"38","NM_002569","NM_198082","HGNC:8568","HGNC:27564","0","0","1","0","0","0.067","0","0","1",0
"39","NM_012106","NM_152906","HGNC:17146","HGNC:25439","0","0.421","0","0","0.091","0","0","0.597","0",0
"40","NM_005759","NM_016338","HGNC:24011","HGNC:20628","0","0.173","1","0","0.029","0.067","0","0.354","1",0
"41","NM_006423","NM_002466","HGNC:9794","HGNC:7548","0","0","0.366","0","0","0.033","0","0.118","0.519",0
"42","NM_152334","NR_003019","HGNC:24728","HGNC:32663","0","0","0","0","0","0","0","0","0",0
"43","NM_002262","NM_000700","HGNC:6378","HGNC:533","0.435","0.227","0.327","0.163","0.057","0.074","0.351","0.387","0.554",0
"44","NM_015291","NM_024821","HGNC:29157","HGNC:26185","0","0","0","0","0","0","0","0","0",0
"45","NM_032795","NR_002579","HGNC:25898","HGNC:32734","0","0","0","0","0","0","0","0","0",0
"46","NM_031952","NM_017838","HGNC:22988","HGNC:14377","0","0","0","0","0","0","0.173","0.227","0.477",0
"47","NM_001651","NM_005369","HGNC:638","HGNC:6940","0.237","0.204","0.535","0.12","0.049","0.054","0.155","0.283","0.622",0
"48","NM_182946","NM_183241","HGNC:14906","HGNC:27849","0.041","0.455","1","0.02","0.143","0.067","0.139","0.613","1",0
"49","NR_039605","NT_010859","HGNC:41882","HGNC:31093","0","0","0","0","0","0","0","0","0",0
"50","NM_001130688","NM_005807","HGNC:5000","HGNC:9364","0","0","0","0","0","0","0","0","0.276",0
"51","NM_033542","NM_032413","HGNC:16162","HGNC:29898","0","0.275","0","0","0.086","0","0","0.436","0",0
"52","NG_001019","NM_019107","HGNC:5580","HGNC:16948","0","0","0","0","0","0","0","0","0",0
"53","NM_001026","NM_183384","HGNC:10411","HGNC:10057","0.387","0.689","0.123","0.168","0.136","0.033","0.385","0.719","0.488",0
"54","NM_018262","NG_032078","HGNC:13556","HGNC:32268","0","0","0","0","0","0","0","0","0",0
"55","NM_024773","NM_004359","HGNC:25840","HGNC:1734","0.422","0.953","0.276","0.18","0.163","0.104","0.377","0.978","0.364",0
"56","NM_014755","NM_021210","HGNC:30784","HGNC:19894","0.295","0.536","0","0.144","0.117","0","0.158","0.618","0",0
"57","NM_014967","NM_001164404","HGNC:29170","HGNC:32206","0","0","0","0","0","0","0","0","0",0
"58","NM_134424","NM_004375","HGNC:9824","HGNC:2261","0.104","0.591","0.457","0.055","0.128","0.044","0.065","0.731","0.641",0
"59","NM_021082","NM_001014999","HGNC:10921","HGNC:20922","0.111","0.21","1","0.05","0.056","0.067","0.095","0.207","1",0
"60","NM_198085","NR_027128","HGNC:22411","HGNC:15707","0","0","0","0","0","0","0","0","0",0
"61","NM_032792","NM_144699","HGNC:23715","HGNC:14073","0","0","0","0","0","0","0","0","0.044",0
"62","NM_002285","NM_030928","HGNC:6473","HGNC:24576","0.034","0.924","0.833","0.02","0.186","0.209","0.1","0.936","0.878",0
"63","NM_133455","NM_001099407","HGNC:18036","HGNC:15858","0","0","0","0","0","0","0","0","0",0
"64","NG_001333","NM_018986","HGNC:12227","HGNC:26009","0","0","0","0","0","0","0","0","0",0
"65","NM_012242","NG_000834","HGNC:2891","HGNC:5816","0","0","0","0","0","0","0","0","0",0
"66","NM_018231","NM_014055","HGNC:25582","HGNC:14313","0.356","0.428","0.463","0.168","0.149","0.04","0.187","0.364","0.576",0
"67","NR_030318","NM_001001995","HGNC:32845","HGNC:4461","0","0","0","0","0","0","0","0.177","0",0
"68","NM_133467","NM_005584","HGNC:18696","HGNC:6757","0","0","0","0","0","0","0.108","0","0.181",0
"69","NM_001002860","NM_001005407","HGNC:18269","HGNC:1395","0","0.08","0","0","0.016","0","0","0.178","0",0
"70","NM_006958","NM_052972","HGNC:12947","HGNC:29480","0.42","0.353","1","0.207","0.085","0.067","0.127","0.449","0.715",0
"71","NM_017860","NM_003189","HGNC:26045","HGNC:11556","0.282","0","0","0.075","0","0","0.513","0.242","0.477",0
"72","NM_002788","NR_029609","HGNC:9532","HGNC:31498","0.378","0.94","0.091","0.191","0.243","0.03","0.299","0.325","0.276",0
"73","NM_022131","NM_197966","HGNC:17448","HGNC:1050","0","0","0","0","0","0","0","0","0",0
"74","NM_021645","NM_014207","HGNC:20321","HGNC:1685","0","0.084","1","0","0.016","0.067","0","0.28","1",0
"75","NM_019120","NM_033198","HGNC:8693","HGNC:14937","0","0","0.245","0","0","0.041","0","0","0.539",0
"76","NM_052931","NM_153376","HGNC:21392","HGNC:26900","0","0","0","0","0","0","0","0","0",0
"77","NM_173687","NM_001101330","HGNC:26731","HGNC:51617","0","0","0","0","0","0","0","0","0",0
"78","NM_178451","NM_033131","HGNC:21000","HGNC:15983","0","0","0","0","0","0","0","0","0",0
"79","NR_003036","NM_178815","HGNC:32703","HGNC:23052","0","0","0","0","0","0","0","0","0",0
"80","NM_001001977","NR_145819","HGNC:838","HGNC:53514","0","0","0","0","0","0","0","0","0",0
"81","NM_001832","NM_016016","HGNC:2085","HGNC:24279","0","0","0","0","0","0","0","0","0",0
"82","NM_138442","NM_005413","HGNC:25171","HGNC:10889","0","0","0.192","0","0","0.03","0","0","0.367",0
"83","NM_021943","NM_020154","HGNC:18019","HGNC:24301","0","0","0","0","0","0","0","0","0",0
"84","NM_020814","NM_014939","HGNC:29269","HGNC:29169","0","0.243","0","0","0.077","0","0","0.395","0.181",0
"85","NM_153042","NM_001103176","HGNC:21577","HGNC:27786","0","0","0","0","0","0","0","0","0",0
"86","NM_012409","NM_006013","HGNC:15748","HGNC:10298","0.477","0.22","0.101","0.248","0.038","0.03","0.158","0.354","0.318",0
"87","NM_000082","NM_001689","HGNC:3439","HGNC:843","0.234","0.316","0","0.104","0.097","0","0.133","0.425","0",0
"88","NM_001145196","NM_144615","HGNC:32006","HGNC:28324","0","0","0","0","0","0","0","0","0",0
"89","NM_004517","NR_030316","HGNC:6040","HGNC:32844","0.238","0","0.091","0.089","0","0.03","0.218","0","0.276",0
"90","NM_003536","NM_021960","HGNC:4775","HGNC:6943","0.373","0.537","0.467","0.18","0.107","0.056","0.326","0.63","0.675",0
"91","NM_178356","NM_005601","HGNC:16613","HGNC:7830","0","0","1","0","0","0.067","0","0","1",0
"92","NM_145167","NM_001011718","HGNC:18858","HGNC:23062","0","0","0","0","0","0","0","0","0",0
"93","NM_002188","NM_030626","HGNC:5973","HGNC:29346","0","0","0","0","0","0","0","0","0",0
"94","NM_001123228","NM_173800","HGNC:34386","HGNC:26904","0","0","0","0","0","0","0","0","0",0
"95","NM_016047","NG_005047","HGNC:30096","HGNC:21234","0","0","0","0","0","0","0","0","0",0
"96","NR_038847","NM_033053","HGNC:44353","HGNC:13910","0","0","0","0","0","0","0","0","0",0
"97","NR_004388","NM_006387","HGNC:32571","HGNC:16930","0","0","0","0","0","0","0","0","0",0
"98","NM_152716","NM_018056","HGNC:26721","HGNC:25510","0","0","0","0","0","0","0","0","0",0
"99","NM_006491","NR_001448","HGNC:7886","HGNC:212","0","0","0","0","0","0","0.477","0.229","0.477",0
"100","NM_001548","NM_145756","HGNC:5407","HGNC:18824","0","0","0","0","0","0","0","0","0.214",0
"101","NM_005297","NM_032217","HGNC:4479","HGNC:23575","0.252","0.389","0","0.107","0.067","0","0.277","0.369","0.115",0
"102","NM_020346","NM_053285","HGNC:16703","HGNC:15534","0","0.229","0","0","0.07","0","0","0.353","0",0
"103","NM_021079","NR_029887","HGNC:7857","HGNC:31770","0.281","0","0","0.173","0","0","0.175","0.219","0.066",0
"104","NM_080618","NM_173468","HGNC:16234","HGNC:29801","0.35","1","0.303","0.176","0.12","0.035","0.286","1","0.471",0
"105","NM_005372","NM_020940","HGNC:7199","HGNC:29320","0","0","0","0","0","0","0","0","0",0
"106","NM_016219","NM_152785","HGNC:6823","HGNC:20253","0.086","0","0.089","0.051","0","0.025","0.071","0","0.244",0
"107","NM_138638","NM_032518","HGNC:1875","HGNC:18603","0","0.46","0.082","0","0.124","0.024","0","0.444","0.31",0
"108","NM_015589","NM_014583","HGNC:23023","HGNC:6633","0.513","0.521","0","0.168","0.164","0","0.28","0.764","0.181",0
"109","NM_018846","NM_014217","HGNC:15646","HGNC:6277","0.073","1","0","0.028","0.156","0","0.076","1","0.06",0
"110","NM_016053","NM_000503, NM_172060","HGNC:24256","HGNC:3519","0","0","0","0","0","0","0","0","0",0
"111","NM_013262","NM_001277333","HGNC:21155","HGNC:35241","0","0","0","0","0","0","0","0","0",0
"112","NM_138804","NM_001129890","HGNC:25183","HGNC:34303","0","0","0","0","0","0","0","0","0",0
"113","NM_153340","NM_152743","HGNC:28713","HGNC:21701","0","0","0","0","0","0","0","0","0",0
"114","NM_001005201","NM_024539","HGNC:15309","HGNC:21153","0","0.099","0","0","0.016","0","0","0.356","0",0
"115","NM_002988","NR_029893","HGNC:10616","HGNC:31760","0.274","0","0.091","0.112","0","0.03","0.186","0","0.276",0
"116","NM_001002035","NM_016573","HGNC:29966","HGNC:24852","0","0","0","0","0","0","0","0","0",0
"117","NM_001220493","NM_003855","HGNC:32423","HGNC:5988","0","0","0","0","0","0","0","0","0",0
"118","NM_024503","NM_003525","HGNC:13561","HGNC:4756","0.397","0","0","0.121","0","0","0.135","0","0.214",0
"119","NM_006848","NM_018838","HGNC:24926","HGNC:23987","0.215","0.341","0","0.097","0.083","0","0.131","0.52","0.128",0
"120","NM_005210","NM_153271","HGNC:2409","HGNC:28468","0","0","0","0","0","0","0.08","0.643","0.262",0
"121","NM_025201","NM_198184","HGNC:30026","HGNC:29961","0.048","0","0","0.028","0","0","0.06","0","0",0
"122","NM_000887","NM_176787","HGNC:6152","HGNC:8967","0.239","0.558","0","0.107","0.114","0","0.142","0.702","0.158",0
"123","NM_004333","NM_005487","HGNC:1097","HGNC:5003","0.294","0.228","0","0.135","0.086","0","0.218","0.612","0",0
"124","NM_014807","NM_004586","HGNC:29000","HGNC:10432","0.549","0.181","0.04","0.273","0.075","0.008","0.245","0.343","0.183",0
"125","NM_003342","NM_004693","HGNC:12482","HGNC:24431","0.062","0.827","0","0.028","0.19","0","0.07","0.863","0",0
"126","NM_207317","NR_029487","HGNC:23245","HGNC:31547","0","0","0","0","0","0","0","0","0",0
"127","NM_013376","NM_018981","HGNC:17932","HGNC:24637","0.32","0","1","0.147","0","0.067","0.327","0","1",0
"128","NM_001039752","NM_001145095","HGNC:18057","HGNC:4904","0","0","0","0","0","0","0","0","0",0
"129","NM_001010866","NM_201589","HGNC:33719","HGNC:23145","0","0","0","0","0","0","0","0","0",0
"130","NM_152488","NR_030214","HGNC:26550","HGNC:32124","0","0","0","0","0","0","0","0","0",0
"131","NM_145230","NM_013370","HGNC:21723","HGNC:30093","0.269","0","0","0.144","0","0","0.231","0.349","0.064",0
"132","NM_020884","NM_014343","HGNC:15906","HGNC:2036","0","0","0.416","0","0","0.067","0","0","0.815",0
"133","NM_014330","NM_020642","HGNC:14375","HGNC:1170","0","0.395","1","0","0.097","0.067","0","0.52","1",0
"134","NM_020879","NM_001010889","HGNC:29296","HGNC:30583","0","0","0","0","0","0","0","0","0",0
"135","NM_173651","NM_173527","HGNC:21675","HGNC:20248","0","0","0","0","0","0","0","0","0",0
"136","NM_001012756","NM_172027","HGNC:13499","HGNC:18275","0","0.684","1","0","0.139","0.067","0","0.798","1",0
"137","NM_004790","NM_012106","HGNC:10970","HGNC:17146","0.336","0.129","0.333","0.169","0.038","0.022","0.168","0.316","0.432",0
"138","NM_006478","NM_020860","HGNC:16955","HGNC:19205","0.107","0","0.217","0.049","0","0.067","0.147","0","0.516",0
"139","NM_001719","NM_015449","HGNC:1074","HGNC:29876","0","0","0","0","0","0","0","0","0",0
"140","NM_006388","NR_030616","HGNC:5275","HGNC:33661","0","0","0","0","0","0","0","0","0",0
"141","NM_000927","NM_003259","HGNC:40","HGNC:5348","0.2","1","1","0.09","0.156","0.067","0.278","1","1",0
"142","NM_001009994","NM_020229","HGNC:21390","HGNC:13996","0","0","0","0","0","0","0","0","0",0
"143","NM_021826","NM_178833","HGNC:25790","HGNC:25143","0.033","0.512","0.146","0.017","0.187","0.028","0.249","0.492","0.343",0
"144","NM_017952","NM_052925","HGNC:24717","HGNC:15500","0","0","1","0","0","0.067","0","0","1",0
"145","NM_145021","NR_029887","HGNC:23356","HGNC:31770","0.257","0","0","0.107","0","0","0.154","0.097","0.079",0
"146","NM_001039182","NM_018921","HGNC:32479","HGNC:8707","0","0","0.192","0","0","0.03","0","0","0.367",0
"147","NM_004078","NM_004506","HGNC:2469","HGNC:5225","0.128","0.79","0.245","0.055","0.12","0.071","0.052","0.661","0.262",0
"148","NM_138421","NR_029859","HGNC:25158","HGNC:31765","0","0","0","0","0","0","0","0","0",0
"149","NM_173480","NM_080621","HGNC:13125","HGNC:16129","0","0","0","0","0","0","0","0","0",0
"150","NM_001099218","NM_004132","HGNC:34417","HGNC:4798","0","0","0.123","0","0","0.03","0.477","0.444","0.481",0
"151","NM_005806","NR_003694","HGNC:9398","HGNC:33571","0","0","0","0","0","0","0","0","0",0
"152","NM_138381","NM_024610","HGNC:25128","HGNC:16389","0","0","0","0","0","0","0","0","0.477",0
"153","NM_001145118","NM_000242","HGNC:18464","HGNC:6922","0","0","0","0","0","0","0","0","0",0
"154","NM_024815","NM_001242815","HGNC:26194","HGNC:42966","0","0","0","0","0","0","0","0","0",0
"155","NM_013262","NM_001560","HGNC:21155","HGNC:5974","0.129","0.099","1","0.044","0.016","0.067","0.131","0.356","1",0
"156","NM_001005463","NM_001280","HGNC:19087","HGNC:1982","0.7","1","0","0.27","0.12","0","0.628","1","0.214",0
"157","NM_152577","NM_212558","HGNC:26371","HGNC:33816","0","0","0","0","0","0","0","0","0",0
"158","NM_014729","NM_001159279","HGNC:18988","HGNC:32458","0","0","1","0","0","0.205","0","0","1",0
"159","NR_038397","NM_138795","HGNC:41228","HGNC:25192","0","0","0","0","0","0","0","0","0",0
"160","NM_014748","NR_002991","HGNC:14979","HGNC:32590","0","0","0","0","0","0","0","0","0",0
"161","NM_015160","NM_002548","HGNC:18667","HGNC:8183","0.022","0.224","0","0.011","0.062","0","0.079","0.241","0.1",0
"162","NM_005665","NM_002664","HGNC:3501","HGNC:9070","0.175","0.45","0.482","0.097","0.072","0.096","0.192","0.556","0.578",0
"163","NM_020198","NM_001045475","HGNC:24856","HGNC:34300","0","0","0","0","0","0","0","0","0",0
"164","NM_022068","NM_003700","HGNC:26270","HGNC:8244","0.679","0","0","0.366","0","0","0.323","0","0",0
"165","NM_014633","NM_004441","HGNC:16850","HGNC:3392","0.396","0.214","1","0.198","0.061","0.067","0.36","0.322","1",0
"166","NM_005664","NM_144984","HGNC:7114","HGNC:26470","0","0","0","0","0","0","0","0","0",0
"167","NM_001007232","NM_003382","HGNC:33827","HGNC:12695","0.279","0","0","0.094","0","0","0.165","0.235","0.143",0
"168","NM_032871","NM_004630","HGNC:13764","HGNC:12950","0.089","1","1","0.028","0.12","0.067","0.084","1","1",0
"169","NG_001333","NM_203373","HGNC:12193","HGNC:27537","0","0","0","0","0","0","0","0","0",0
"170","NM_002910","NR_003343.1","HGNC:9959","HGNC:33045","0","0","0","0","0","0","0","0","0",0
"171","NM_002960","NM_198512","HGNC:10493","HGNC:23250","0","0.378","0","0","0.097","0","0","0.438","0",0
"172","NR_030320","NM_001005286","HGNC:32805","HGNC:15027","0","0","0","0","0","0","0","0.177","0",0
"173","NR_146153","NM_006505","HGNC:53525","HGNC:9705","0","0","0","0","0","0","0","0","0",0
"174","NM_152283","NM_001622","HGNC:23241","HGNC:349","0","0","0","0","0","0","0","0","0.13",0
"175","NM_025252","NM_021794","HGNC:14436","HGNC:208","0","1","0.156","0","0.156","0.03","0","1","0.318",0
"176","NM_152285","NM_001190452","HGNC:28633","HGNC:37155","0","0","0","0","0","0","0","0","0",0
"177","NG_001019","NM_080818","HGNC:5661","HGNC:4531","0","0","0","0","0","0","0","0","0",0
"178","NM_017525","NM_005713","HGNC:29829","HGNC:2205","0.178","0.505","0.398","0.064","0.105","0.037","0.127","0.642","0.43",0
"179","NM_203374","NM_013329","HGNC:33111","HGNC:13579","0","0","0","0","0","0","0","0","0",0
"180","NM_001044369","NR_024229","HGNC:31729","HGNC:34313","0","0","0","0","0","0","0","0","0",0
"181","NM_001018059","NM_003534","HGNC:34409","HGNC:4772","0","1","0","0","0.184","0","0","1","0",0
"182","NM_019897","NM_021916","HGNC:8276","HGNC:13140","0","0","0","0","0","0","0","0","0.117",0
"183","NM_002941","NM_031444","HGNC:10249","HGNC:14237","0","0","1","0","0","0.067","0","0","1",0
"184","NM_001012415","NM_022171","HGNC:27845","HGNC:11692","0.381","0","0","0.173","0","0","0.384","0","0.383",0
"185","NM_181807","NM_024872","HGNC:20625","HGNC:24583","0.051","0.139","1","0.028","0.056","0.067","0.091","0.405","1",0
"186","NM_175734","NM_152570","HGNC:27315","HGNC:21207","0","0","0","0","0","0","0","0","0",0
"187","NM_175571","NM_001130002","HGNC:21792","HGNC:25146","0","0","0","0","0","0","0","0","0",0
"188","NM_014245","NM_153836","HGNC:10070","HGNC:14272","0","0","0","0","0","0","0","0","0",0
"189","NM_006958","NM_198527","HGNC:12947","HGNC:30522","0","0","1","0","0","0.067","0","0","1",0
"190","NM_024027","NM_016231","HGNC:17213","HGNC:29858","0.246","0","0.415","0.109","0","0.105","0.227","0.161","0.486",0
"191","NM_024917","NM_007242","HGNC:25748","HGNC:2742","0","0","1","0","0","0.067","0","0","1",0
"192","NR_031705","NM_014700","HGNC:35370","HGNC:17224","0","0.588","0","0","0.226","0","0","0.658","0",0
"193","NM_001074","NM_015251","HGNC:12554","HGNC:29034","0.358","0","0","0.148","0","0","0.173","0.119","0.14",0
"194","NM_005549","NM_138413","HGNC:6219","HGNC:25155","0","0.08","0","0","0.016","0","0.094","0.275","0.065",0
"195","NM_001004739","NG_000002","HGNC:8351","HGNC:5901","0","0","0","0","0","0","0","0","0",0
"196","NR_002590","NM_198547","HGNC:32634","HGNC:24802","0","0","0","0","0","0","0","0","0",0
"197","NM_139250","NM_152484","HGNC:24198","HGNC:24737","0","0","1","0","0","0.067","0","0","1",0
"198","NM_182610","NM_020447","HGNC:25394","HGNC:24695","0","0","0","0","0","0","0","0","0",0
"199","NM_015117","NM_024098","HGNC:28972","HGNC:28359","0","1","0","0","0.12","0","0","1","0.362",0
"200","NM_006478","NM_030949","HGNC:16955","HGNC:14952","0","0","0","0","0","0","0","0","0",0
"201","NM_018652","NM_025220","HGNC:32205","HGNC:15478","0","0","0","0","0","0","0","0","0",0
"202","NM_005449","NM_173484","HGNC:14315","HGNC:18830","0.258","0","0","0.075","0","0","0.108","0","0",0
"203","NM_022764","NM_152416","HGNC:25778","HGNC:28625","0","0","0","0","0","0","0","0","0",0
"204","NM_020774","NM_012211","HGNC:21086","HGNC:6136","0","0.049","0.105","0","0.012","0.03","0","0.213","0.621",0
"205","NM_001039111","NR_029625","HGNC:32669","HGNC:31589","0.59","0","0.43","0.293","0","0.242","0.544","0.082","0.604",0
"206","NM_057176","NG_001019","HGNC:16512","HGNC:5623","0","0","0","0","0","0","0","0","0",0
"207","NM_001280","NM_001001791","HGNC:1982","HGNC:31008","0","0","0","0","0","0","0","0","0",0
"208","NM_201453","NM_016063","HGNC:18519","HGNC:21078","0","0","0","0","0","0","0","0","0",0
"209","NM_019086","NM_002748","HGNC:26078","HGNC:6879","0","0","0","0","0","0","0","0","0",0
"210","NM_005817","NM_004185","HGNC:16893","HGNC:12781","0","0.26","0","0","0.044","0","0.092","0.528","0",0
"211","NM_001085480","NM_004549","HGNC:21549","HGNC:7706","0","0","0","0","0","0","0","0","0",0
"212","NR_030308","NM_022353","HGNC:32838","HGNC:23075","0","0","0","0","0","0","0","0","0",0
"213","NM_174923","NR_073154","HGNC:28465","HGNC:32047","0","0","0","0","0","0","0","0","0",0
"214","NM_001039182","NM_020732","HGNC:32479","HGNC:18040","0.251","0.669","1","0.166","0.115","0.067","0.128","0.738","1",0
"215","NM_005578","NM_032593","HGNC:6679","HGNC:18344","0","0.25","0","0","0.055","0","0","0.39","0",0
"216","NM_017759","NM_001080542","HGNC:25997","HGNC:24674","0.074","0.372","0","0.028","0.097","0","0.102","0.457","0",0
"217","NM_032435","NM_016424","HGNC:29798","HGNC:24309","0.369","0","0.533","0.107","0","0.052","0.338","0.218","0.654",0
"218","NR_002749","NG_001332","HGNC:10184","HGNC:12123","0","0","0","0","0","0","0","0","0",0
"219","NM_001080437","NM_006690","HGNC:24696","HGNC:7172","0","0","0","0","0","0","0","0","0",0
"220","NM_017416","NM_173810","HGNC:5997","HGNC:28432","0","0","0","0","0","0","0","0","0.131",0
"221","NM_180982","NM_000095","HGNC:16655","HGNC:2227","0.103","0.13","0.709","0.046","0.04","0.328","0.143","0.133","0.59",0
"222","NM_001308491","NM_001048252","HGNC:17216","HGNC:31110","0","0","0","0","0","0","0","0","0",0
"223","NM_194281","NR_104080","HGNC:26994","HGNC:34269","0","0","0","0","0","0","0","0","0",0
"224","NM_003063","NM_053044","HGNC:11089","HGNC:30406","0.158","0","0.374","0.086","0","0.034","0.123","0","0.534",0
"225","NR_002991","NM_012231","HGNC:32590","HGNC:9347","0","0","0","0","0","0","0","0","0",0
"226","NM_023034","NM_016571","HGNC:12767","HGNC:21016","0","0","0","0","0","0","0","0","0",0
"227","NR_030637","NM_015952","HGNC:33684","HGNC:20993","0","0","0","0","0","0","0","0","0",0
"228","NM_148911","NM_017447","HGNC:15781","HGNC:16459","0","0","0","0","0","0","0","0","0",0
"229","NM_016449","NM_015585","HGNC:28031","HGNC:15872","0","0","0","0","0","0","0","0","0",0
"230","NM_003504","NR_000025","HGNC:1739","HGNC:16649","0","0","0","0","0","0","0","0","0",0
"231","NM_015885","NM_003025","HGNC:30097","HGNC:10830","0.074","0.305","0","0.023","0.058","0","0.078","0.397","0",0
"232","NM_003118","NM_145648","HGNC:11219","HGNC:23090","0.366","0.408","1","0.15","0.197","0.067","0.281","0.503","1",0
"233","NM_001005178","NM_003598","HGNC:15239","HGNC:11715","0","0.135","0","0","0.016","0","0","0.356","0",0
"234","NM_024111","NM_025187","HGNC:28680","HGNC:29564","0","0","1","0","0","0.067","0","0","1",0
"235","NM_014945","NM_020194","HGNC:29132","HGNC:24858","0.681","0.162","1","0.358","0.071","0.067","0.414","0.304","1",0
"236","NM_006181","NM_032378","HGNC:8030","HGNC:3211","0.232","0","1","0.099","0","0.067","0.13","0.314","0.699",0
"237","NM_018058","NM_173528","HGNC:14882","HGNC:26782","0","0","0","0","0","0","0","0","0",0
"238","NM_020236","NM_173517","HGNC:14275","HGNC:21492","0.191","0.336","0","0.124","0.094","0","0.234","0.7","0.158",0
"239","NM_017530","NM_001002035","HGNC:28043","HGNC:29966","0","0","0","0","0","0","0","0","0",0
"240","XR_000169","NM_016500","HGNC:13396","HGNC:28790","0","0","0","0","0","0","0","0","0",0
"241","NM_145001","NR_028272","HGNC:28317","HGNC:30815","0","0","0","0","0","0","0","0","0",0
"242","NM_021961","NM_138357","HGNC:11714","HGNC:23526","0.337","0.316","0.278","0.134","0.129","0.036","0.304","0.395","0.433",0
"243","NM_001080830","NM_032753","HGNC:22125","HGNC:18286","0","0","0","0","0","0","0","0","0",0
