,gene1,gene2,label,meta_path,rank_percent
63,G:HGNC:24336,G:HGNC:23820,0,,0.0
64,G:HGNC:16654,G:HGNC:962,0,['GMDpDMG'],0.099
65,G:HGNC:27409,G:HGNC:10067,0,,0.0
66,G:HGNC:904,G:HGNC:29602,0,['GTG'],0.592
67,G:HGNC:18069,G:HGNC:20298,0,,0.0
68,G:HGNC:3272,G:HGNC:10820,0,['GTG'],0.808
69,G:HGNC:53527,G:HGNC:28484,0,,0.0
70,G:HGNC:28773,G:HGNC:20714,0,['GMDpDMG'],0.703
71,G:HGNC:44310,G:HGNC:37278,0,,0.0
72,G:HGNC:29642,G:HGNC:389,0,,0.0
73,G:HGNC:38058,G:HGNC:30739,0,,0.0
74,G:HGNC:33286,G:HGNC:52242,0,,0.0
75,G:HGNC:2338,G:HGNC:11995,0,['GTG'],0.653
76,G:HGNC:23616,G:HGNC:28255,0,['GMDpDMG'],0.762
77,G:HGNC:10628,G:HGNC:6128,0,['GMDMG'],0.163
78,G:HGNC:18160,G:HGNC:23504,0,['GMDpDMG'],0.77
79,G:HGNC:33559,G:HGNC:23074,0,,0.0
80,G:HGNC:3036,G:HGNC:19300,0,['GMG'],0.927
81,G:HGNC:13764,G:HGNC:15899,0,['GTG'],0.703
82,G:HGNC:33137,G:HGNC:24868,0,,0.0
83,G:HGNC:29635,G:HGNC:24309,0,,0.0
84,G:HGNC:29245,G:HGNC:9171,0,,0.0
85,G:HGNC:15749,G:HGNC:9548,0,['GTG'],0.326
86,G:HGNC:30278,G:HGNC:3315,0,"['GMDMG', 'GMDpDMG']",0.773
87,G:HGNC:19246,G:HGNC:5144,0,['GTG'],0.382
88,G:HGNC:1554,G:HGNC:23368,0,['GTG'],0.493
89,G:HGNC:28119,G:HGNC:31909,0,['GTG'],0.68
90,G:HGNC:13076,G:HGNC:17185,0,['GTG'],0.715
91,G:HGNC:16229,G:HGNC:18808,0,['GTG'],0.773
92,G:HGNC:22957,G:HGNC:19024,0,,0.0
93,G:HGNC:31332,G:HGNC:30034,0,"['GMDMG', 'GMDpDMG']",0.912
94,G:HGNC:17224,G:HGNC:6616,0,['GTG'],0.414
95,G:HGNC:10313,G:HGNC:27984,0,['GMDpDMG'],0.479
96,G:HGNC:16938,G:HGNC:26594,0,"['GMDMG', 'GMDpDMG']",0.988
97,G:HGNC:10728,G:HGNC:22432,0,,0.0
98,G:HGNC:1578,G:HGNC:53085,0,['GTG'],0.28
99,G:HGNC:26378,G:HGNC:18703,0,['GTG'],0.881
100,G:HGNC:25605,G:HGNC:26472,0,['GTG'],0.952
101,G:HGNC:24764,G:HGNC:20038,0,"['GMG', 'GMDpDMG']",0.87
102,G:HGNC:33146,G:HGNC:20361,0,,0.0
103,G:HGNC:32179,G:HGNC:28982,0,['GTG'],0.983
104,G:HGNC:24819,G:HGNC:6058,0,['GTG'],0.462
105,G:HGNC:42540,G:HGNC:29265,0,,0.0
106,G:HGNC:2219,G:HGNC:26330,0,,0.0
107,G:HGNC:1077,G:HGNC:20156,0,['GMG'],0.948
108,G:HGNC:11387,G:HGNC:42,0,['GMDMG'],0.339
109,G:HGNC:30855,G:HGNC:5425,0,['GTG'],0.564
110,G:HGNC:31548,G:HGNC:19364,0,,0.0
111,G:HGNC:26837,G:HGNC:23484,0,['GTG'],0.797
112,G:HGNC:29068,G:HGNC:33139,0,['GTG'],0.756
113,G:HGNC:22420,G:HGNC:6614,0,,0.0
114,G:HGNC:33434,G:HGNC:33661,0,,0.0
115,G:HGNC:27828,G:HGNC:20081,0,,0.0
116,G:HGNC:12333,G:HGNC:26942,0,['GTG'],0.368
117,G:HGNC:24282,G:HGNC:14179,0,['GTG'],0.722
118,G:HGNC:31514,G:HGNC:28910,0,,0.0
119,G:HGNC:9193,G:HGNC:25042,0,,0.0
120,G:HGNC:26033,G:HGNC:18726,0,['GMDpDMG'],1.0
121,G:HGNC:1632,G:HGNC:3431,0,"['GTG', 'GMDMG', 'GMDpDMG']",0.99
122,G:HGNC:2234,G:HGNC:30319,0,,0.0
123,G:HGNC:28638,G:HGNC:2755,0,,0.0
124,G:HGNC:14908,G:HGNC:20264,0,['GMDMG'],0.797
125,G:HGNC:11306,G:HGNC:15453,0,['GMDMG'],0.767
126,G:HGNC:32990,G:HGNC:1659,0,,0.0
127,G:HGNC:17718,G:HGNC:7599,0,['GMG'],0.926
128,G:HGNC:3245,G:HGNC:30313,0,['GTG'],0.724
129,G:HGNC:6720,G:HGNC:15184,0,,0.0
130,G:HGNC:9973,G:HGNC:24101,0,"['GTG', 'GMDMG']",0.617
131,G:HGNC:4179,G:HGNC:27475,0,"['GMDMG', 'GMDpDMG']",0.982
132,G:HGNC:3007,G:HGNC:11039,0,,0.0
133,G:HGNC:16143,G:HGNC:9704,0,,0.0
134,G:HGNC:26453,G:HGNC:3011,0,['GTG'],0.878
135,G:HGNC:15830,G:HGNC:19439,0,,0.0
136,G:HGNC:24687,G:HGNC:31501,0,,0.0
137,G:HGNC:5825,G:HGNC:12178,0,,0.0
138,G:HGNC:15200,G:HGNC:31859,0,,0.0
139,G:HGNC:21097,G:HGNC:25784,0,['GTG'],0.722
140,G:HGNC:24624,G:HGNC:6947,0,['GDpDpDG'],0.621
141,G:HGNC:10435,G:HGNC:6133,0,,0.0
142,G:HGNC:28424,G:HGNC:13287,0,,0.0
143,G:HGNC:27287,G:HGNC:4736,0,,0.0
144,G:HGNC:33116,G:HGNC:18182,0,['GMG'],0.978
145,G:HGNC:4599,G:HGNC:32315,0,,0.0
146,G:HGNC:28900,G:HGNC:21351,0,['GMDMG'],0.959
147,G:HGNC:20074,G:HGNC:12984,0,['GTG'],0.864
148,G:HGNC:6167,G:HGNC:33756,0,,0.0
149,G:HGNC:8993,G:HGNC:12195,0,,0.0
