HGNC ID,Approved symbol,RefSeq IDs,Enzyme IDs,Gene group ID,Gene group name,RefSeq(supplied by NCBI)
HGNC:29132,ABLIM3,NM_014945,,1218,LIM domain containing,NM_001301015
HGNC:30655,ABRA,NM_139166,,,,NM_139166
HGNC:21230,ABRACL,NM_021243,,,,NM_021243
HGNC:25829,ABRAXAS1,NM_139076,,1328,BRCA1 A complex,NM_001345962
HGNC:28975,ABRAXAS2,NM_032182,,1375,BRISC complex,NM_032182
HGNC:18275,ABTB1,NM_172027,,861|403,BTB domain containing|Ankyrin repeat domain containing,NM_032548
HGNC:23842,ABTB2,NM_145804,,861|403,BTB domain containing|Ankyrin repeat domain containing,NM_145804
HGNC:87,ACAD8,NM_014384,,974,Acyl-CoA dehydrogenase family,NM_014384
HGNC:21497,ACAD9,NM_014049,,974|1387,Acyl-CoA dehydrogenase family|Mitochondrial complex I assembly complex,NM_014049
HGNC:21597,ACAD10,NM_025247,,974,Acyl-CoA dehydrogenase family,NM_001136538
HGNC:30211,ACAD11,NM_032169,,974,Acyl-CoA dehydrogenase family,NM_032169
HGNC:92,ACADVL,NM_000018,,974,Acyl-CoA dehydrogenase family,NM_000018
HGNC:319,ACAN,NM_001135,,1179|574|590|1298,Sushi domain containing|Hyalectan proteoglycans|V-set domain containing|C-type lectin domain containing,NM_001135
HGNC:16467,ACAP1,NM_014716,,403|395|1291,Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing,NM_014716
HGNC:16469,ACAP2,NM_012287,,403|395|1291,Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing,NM_012287
HGNC:16754,ACAP3,NM_030649,,403|395|1691|1291,Ankyrin repeat domain containing|ArfGAPs|MicroRNA protein coding host genes|BAR-PH domain containing,NM_030649
HGNC:15453,ACBD3,NM_022735,,396,A-kinase anchoring proteins,NM_022735
HGNC:23337,ACBD4,NM_024722,,,,NM_001135705
HGNC:23338,ACBD5,NM_145698,,,,NM_001042473
HGNC:23339,ACBD6,NM_032360,,403|1691,Ankyrin repeat domain containing|MicroRNA protein coding host genes,NM_032360
HGNC:23989,ACCS,NM_032592,,,,NM_001127219
HGNC:34391,ACCSL,NM_001031854,,,,NM_001031854
HGNC:25070,ACD,NM_022914,,1334,Shelterin complex,NM_001082486
HGNC:17066,ACIN1,NM_014977,,1236,ASAP complex,NM_001164814
HGNC:4035,ACKR1,NM_002036,,1090|454|471,Atypical chemokine receptors|Blood group antigens|CD molecules,NM_001122951
HGNC:1565,ACKR2,NM_001296,,1090,Atypical chemokine receptors,NM_001296
HGNC:23692,ACKR3,NM_020311,,1090,Atypical chemokine receptors,NM_020311
HGNC:1611,ACKR4,NM_016557,,1090,Atypical chemokine receptors,NM_016557
HGNC:33128,ACOT1,NM_001037161,,41,Acyl-CoA thioesterases,NM_001037161
HGNC:18431,ACOT2,NM_006821,,41,Acyl-CoA thioesterases,NM_001364177
HGNC:19748,ACOT4,NM_152331,,41,Acyl-CoA thioesterases,NM_152331
HGNC:33159,ACOT6,NM_001037162,,41,Acyl-CoA thioesterases,NM_001037162
HGNC:24157,ACOT7,NM_007274,,41,Acyl-CoA thioesterases,NM_007274
HGNC:17152,ACOT9,NM_012332,,41,Acyl-CoA thioesterases,NM_001033583
HGNC:24436,ACOT12,NM_130767,,41|759,Acyl-CoA thioesterases|StAR related lipid transfer domain containing,NM_130767
HGNC:20999,ACOT13,NM_018473,,41,Acyl-CoA thioesterases,NM_001160094
HGNC:25621,ACOXL,NM_018308,,,,NM_001142807
HGNC:14376,ACP4,NM_033068,,1071,Acid phosphatases,NM_033068
HGNC:29609,ACP6,NM_016361,,1071,Acid phosphatases,NM_001323625
HGNC:33781,ACP7,NM_001004318,,1071,Acid phosphatases,NM_001004318
HGNC:17195,ACRBP,NM_032489,,1492,Armadillo-like helical domain containing,NM_032489
HGNC:127,ACRV1,NM_001612,,,,NM_001612
HGNC:29567,ACSBG1,NM_015162,,40,Acyl-CoA synthetase family,NM_001199377
HGNC:24174,ACSBG2,NM_030924,,40,Acyl-CoA synthetase family,NM_001289177
HGNC:26101,ACSF2,NM_025149,,40,Acyl-CoA synthetase family,NM_001288968
HGNC:27288,ACSF3,NM_174917,,40,Acyl-CoA synthetase family,NM_001127214
HGNC:3570,ACSL3,NM_004457,,40,Acyl-CoA synthetase family,NM_001354158
HGNC:3571,ACSL4,NM_004458,,103|40,X-linked mental retardation|Acyl-CoA synthetase family,NM_001318509
HGNC:16526,ACSL5,NM_016234,,40,Acyl-CoA synthetase family,NM_016234
HGNC:16496,ACSL6,NM_015256,,40,Acyl-CoA synthetase family,NM_001009185
HGNC:32017,ACSM2A,NM_001010845,,40,Acyl-CoA synthetase family,NM_001308169
HGNC:30931,ACSM2B,NM_182617,,40,Acyl-CoA synthetase family,NM_001105069
HGNC:10522,ACSM3,NM_005622,,40,Acyl-CoA synthetase family,NM_005622
HGNC:32016,ACSM4,NM_001080454,,40,Acyl-CoA synthetase family,NM_001080454
HGNC:26060,ACSM5,NM_017888,,40,Acyl-CoA synthetase family,NM_001324371
HGNC:31665,ACSM6,NM_207321,,40,Acyl-CoA synthetase family,NM_207321
HGNC:24723,ACSS3,NM_024560,,1691|40,MicroRNA protein coding host genes|Acyl-CoA synthetase family,NM_001330242
HGNC:129,ACTA1,NM_001100,,929,Actins,NM_001100
HGNC:130,ACTA2,NM_001613,,929,Actins,NM_001141945
HGNC:132,ACTB,NM_001101,,1605|1604|1606|929,PBAF complex|BAF complex|GBAF complex|Actins,NM_001101
HGNC:17780,ACTBL2,NM_001017992,,929,Actins,NM_001017992
HGNC:143,ACTC1,NM_005159,,929,Actins,NM_005159
HGNC:144,ACTG1,NM_001614,,1152|929,Deafness associated genes|Actins,NM_001199954
HGNC:145,ACTG2,NM_001615,,929,Actins,NM_001199893
HGNC:24124,ACTL6A,NM_004301,,1436|595|1605|1604|1606|1329,Actin related proteins|INO80 complex |PBAF complex|BAF complex|GBAF complex|SRCAP complex,NM_004301
HGNC:160,ACTL6B,NM_016188,,1436|1605|1604|1606,Actin related proteins|PBAF complex|BAF complex|GBAF complex,NM_016188
HGNC:161,ACTL7A,NM_006687,,1436,Actin related proteins,NM_006687
HGNC:162,ACTL7B,NM_006686,,1436,Actin related proteins,NM_006686
HGNC:24018,ACTL8,NM_030812,,1436,Actin related proteins,NM_030812
HGNC:28494,ACTL9,NM_178525,,1436,Actin related proteins,NM_178525
HGNC:163,ACTN1,NM_001102,,1112,Actinins,NM_001102
HGNC:164,ACTN2,NM_001103,,1112,Actinins,NM_001103
HGNC:165,ACTN3,NM_001104,,1112,Actinins,NM_001104
HGNC:168,ACTR1B,NM_005735,,1436,Actin related proteins,NM_005735
HGNC:169,ACTR2,NM_001005386,,39|1436,Actin related protein 2/3 complex subunits|Actin related proteins,NM_001005386
HGNC:170,ACTR3,NM_005721,,39|1436,Actin related protein 2/3 complex subunits|Actin related proteins,NM_001277140
HGNC:17256,ACTR3B,NM_020445,,1436,Actin related proteins,NM_001040135
HGNC:14671,ACTR5,NM_024855,,1436|595,Actin related proteins|INO80 complex ,NM_024855
HGNC:24025,ACTR6,NM_022496,,1436|1329,Actin related proteins|SRCAP complex,NM_022496
HGNC:14672,ACTR8,NM_022899,,1436|595,Actin related proteins|INO80 complex ,NM_022899
HGNC:24027,ACTRT1,NM_138289,,1436,Actin related proteins,NM_138289
HGNC:24026,ACTRT2,NM_080431,,1436,Actin related proteins,NM_080431
HGNC:24022,ACTRT3,NM_032487,,1436,Actin related proteins,NM_032487
HGNC:171,ACVR1,NM_001105,,345,Type 1 receptor serine/threonine kinases,NM_001105
HGNC:172,ACVR1B,NM_020328,,345,Type 1 receptor serine/threonine kinases,NM_004302
HGNC:18123,ACVR1C,NM_145259,,345,Type 1 receptor serine/threonine kinases,NM_001111031
HGNC:173,ACVR2A,NM_001616,,346,Type 2 receptor serine/threonine kinases,NM_001278579
HGNC:174,ACVR2B,NM_001106,,346,Type 2 receptor serine/threonine kinases,NM_001106
HGNC:30713,ADAD1,NM_139243,,1303,Adenosine deaminases acting on RNA,NM_001159285
HGNC:30714,ADAD2,NM_139174,,1303,Adenosine deaminases acting on RNA,NM_001145400
HGNC:31853,ADAL,NM_001324366,,1302,Adenosine deaminase family,NM_001012969
HGNC:187,ADAM1A,NG_001216,,47,ADAM metallopeptidase domain containing,NG_065830
HGNC:198,ADAM2,NM_001464,,47,ADAM metallopeptidase domain containing,NM_001278113
HGNC:212,ADAM5,NR_001448,,47,ADAM metallopeptidase domain containing,NR_001448
HGNC:214,ADAM7,NM_003817,,47,ADAM metallopeptidase domain containing,NM_003817
HGNC:215,ADAM8,NM_001109,,47|471,ADAM metallopeptidase domain containing|CD molecules,NM_001109
HGNC:188,ADAM10,NM_001110,,47|471,ADAM metallopeptidase domain containing|CD molecules,NM_001110
HGNC:189,ADAM11,NM_002390,,47,ADAM metallopeptidase domain containing,NM_001318933
HGNC:193,ADAM15,NM_003815,,47,ADAM metallopeptidase domain containing,NM_001261464
HGNC:196,ADAM18,NM_014237,,47,ADAM metallopeptidase domain containing,NM_001190956
HGNC:197,ADAM19,NM_033274,,47,ADAM metallopeptidase domain containing,NM_033274
HGNC:201,ADAM22,NM_021723,,47,ADAM metallopeptidase domain containing,NM_001324417
HGNC:202,ADAM23,NM_003812,,47,ADAM metallopeptidase domain containing,NM_003812
HGNC:206,ADAM28,NM_021778,,47,ADAM metallopeptidase domain containing,NM_001304351
HGNC:208,ADAM30,NM_021794,,47,ADAM metallopeptidase domain containing,NM_021794
HGNC:15479,ADAM32,NM_145004,,47,ADAM metallopeptidase domain containing,NM_001313994
HGNC:15478,ADAM33,NM_025220,,47,ADAM metallopeptidase domain containing,NM_001282447
HGNC:16299,ADAMDEC1,NM_014479,,,,NM_001145271
HGNC:218,ADAMTS2,NM_014244,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_014244
HGNC:220,ADAMTS4,NM_005099,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_001320336
HGNC:222,ADAMTS6,NM_197941,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_197941
HGNC:223,ADAMTS7,NM_014272,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_014272
HGNC:224,ADAMTS8,NM_007037,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_007037
HGNC:13201,ADAMTS10,NM_030957,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_001282352
HGNC:14605,ADAMTS12,NM_030955,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_001324511
HGNC:1366,ADAMTS13,NM_139025,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_139025
HGNC:14899,ADAMTS14,NM_080722,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_080722
HGNC:16305,ADAMTS15,NM_139055,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_139055
HGNC:17108,ADAMTS16,NM_139056,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_139056
HGNC:17109,ADAMTS17,NM_139057,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_139057
HGNC:17111,ADAMTS19,NM_133638,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_133638
HGNC:17178,ADAMTS20,NM_025003,,50,ADAM metallopeptidases with thrombospondin type 1 motif,NM_025003
HGNC:14631,ADAMTSL2,NM_014694,,947,ADAMTS like,NM_001145320
HGNC:14633,ADAMTSL3,NM_207517,,593|947|594,I-set domain containing|ADAMTS like|Immunoglobulin like domain containing,NM_001301110
HGNC:19706,ADAMTSL4,NM_019032,,947|1691,ADAMTS like|MicroRNA protein coding host genes,NM_001288607
HGNC:27912,ADAMTSL5,NM_213604,,947,ADAMTS like,NM_001367197
HGNC:16486,ADAP1,NM_006869,,395|682,ArfGAPs|Pleckstrin homology domain containing,NM_001284308
HGNC:16487,ADAP2,NM_018404,,395|682,ArfGAPs|Pleckstrin homology domain containing,NM_001346712
HGNC:23299,ADARB2-AS1,NR_033387,,,,NR_033387
HGNC:228,ADAT1,NM_012091,,1303,Adenosine deaminases acting on RNA,NM_001324444
HGNC:21172,ADAT2,NM_001286259,,1303,Adenosine deaminases acting on RNA,NM_001286259
HGNC:25151,ADAT3,NM_138422,,1303,Adenosine deaminases acting on RNA,NM_001329533
HGNC:19038,ADCK1,NM_020421,,,,NM_001142545
HGNC:19039,ADCK2,NM_052853,,,,NM_052853
HGNC:21738,ADCK5,NM_174922,,,,NM_174922
HGNC:241,ADCYAP1,NM_001117,,1902,Neuropeptides,NM_001099733
HGNC:242,ADCYAP1R1,NM_001118,,264,Vasoactive intestinal peptide receptor family,NM_001118
HGNC:243,ADD1,NM_014189,,,,NM_001119
HGNC:244,ADD2,NM_001617,,,,NM_001185054
HGNC:245,ADD3,NM_019903,,,,NM_001121
HGNC:21212,ADGB,NM_024694,,975,Calpains,NM_024694
HGNC:943,ADGRB1,NM_001702,,912,"Adhesion G protein-coupled receptors, subfamily B",NM_001702
HGNC:944,ADGRB2,NM_001703,,912|1691,"Adhesion G protein-coupled receptors, subfamily B|MicroRNA protein coding host genes",NM_001294335
HGNC:19893,ADGRD1,NM_198827,,914,"Adhesion G protein-coupled receptors, subfamily D",NM_001330497
HGNC:18651,ADGRD2,NM_182611,,914,"Adhesion G protein-coupled receptors, subfamily D",XM_006717348
HGNC:23647,ADGRE3,NM_032571,,915,"Adhesion G protein-coupled receptors, subfamily E",NM_001289158
HGNC:19240,ADGRE4P,NR_024075,,915,"Adhesion G protein-coupled receptors, subfamily E",NR_024075
HGNC:1711,ADGRE5,NM_078481,,915|471,"Adhesion G protein-coupled receptors, subfamily E|CD molecules",NM_001025160
HGNC:18990,ADGRF1,NM_153840,,916,"Adhesion G protein-coupled receptors, subfamily F",NM_025048
HGNC:18991,ADGRF2,NM_153839,,916,"Adhesion G protein-coupled receptors, subfamily F",NM_001368115
HGNC:18989,ADGRF3,NM_153835,,916,"Adhesion G protein-coupled receptors, subfamily F",NM_001145168
HGNC:19011,ADGRF4,NM_153838,,916,"Adhesion G protein-coupled receptors, subfamily F",NM_001347855
HGNC:19030,ADGRF5,NM_015234,,593|916|594,"I-set domain containing|Adhesion G protein-coupled receptors, subfamily F|Immunoglobulin like domain containing",NM_001098518
HGNC:13728,ADGRG3,NM_170776,,917,"Adhesion G protein-coupled receptors, subfamily G",NM_001308360
HGNC:19010,ADGRG5,NM_153837,,917,"Adhesion G protein-coupled receptors, subfamily G",NM_001304376
HGNC:20973,ADGRL1,NM_014921,,918,"Adhesion G protein-coupled receptors, subfamily L",NM_001008701
HGNC:18582,ADGRL2,NM_012302,,918,"Adhesion G protein-coupled receptors, subfamily L",NM_001297704
HGNC:20822,ADGRL4,NM_022159,,918,"Adhesion G protein-coupled receptors, subfamily L",NM_022159
HGNC:17416,ADGRV1,NM_032119,,1244|919,"USH2 complex |Adhesion G protein-coupled receptors, subfamily V",NM_032119
HGNC:28606,ADIG,NM_001018082,,,,NM_001018082
HGNC:13633,ADIPOQ,NM_004797,,1372,C1q and TNF related ,NM_001177800
HGNC:24040,ADIPOR1,NM_015999,,293|930,Adiponectin receptors|Progestin and adipoQ receptor family,NM_001290553
HGNC:24041,ADIPOR2,NM_024551,,293|930,Adiponectin receptors|Progestin and adipoQ receptor family,NM_024551
HGNC:24043,ADIRF,NM_006829,,,,NM_006829
HGNC:259,ADM,NM_001124,,1902,Neuropeptides,NM_001124
HGNC:28898,ADM2,NM_024866,,1902,Neuropeptides,NM_001253845
HGNC:27293,ADM5,NM_001101340,,,,NM_001101340
HGNC:15766,ADNP,NM_181442,,529,ZF class homeoboxes and pseudogenes,NM_001282531
HGNC:23803,ADNP2,NM_014913,,529|28,ZF class homeoboxes and pseudogenes|Zinc fingers C2H2-type,NM_014913
HGNC:262,ADORA1,NM_000674,,211,Adenosine receptors,NM_000674
HGNC:263,ADORA2A,NM_000675,,211,Adenosine receptors,NM_000675
HGNC:37122,ADORA2A-AS1,NR_028483,,,,NR_028483
HGNC:268,ADORA3,"NM_000677, NM_020683",,211|590,Adenosine receptors|V-set domain containing,NM_000677
HGNC:25250,ADPGK,NM_031284,,,,NM_001365223
HGNC:21303,ADPRHL1,NM_138430,,,,NM_138430
HGNC:21304,ADPRHL2,NM_017825,,,,NM_017825
HGNC:277,ADRA1A,NM_033303,,169,Adrenoceptors,NM_000680
HGNC:280,ADRA1D,NM_000678,,169,Adrenoceptors,NM_000678
HGNC:281,ADRA2A,NM_000681,,169,Adrenoceptors,NM_000681
HGNC:283,ADRA2C,NM_000683,,169,Adrenoceptors,NM_000683
HGNC:286,ADRB2,NM_000024,,169,Adrenoceptors,NM_000024
HGNC:288,ADRB3,NM_000025,,169,Adrenoceptors,NM_000025
HGNC:21214,ADTRP,NM_032744,,,,NM_001143948
HGNC:303,AEBP1,NM_001129,,1321|1691,M14 carboxypeptidases|MicroRNA protein coding host genes,NM_001129
HGNC:24051,AEBP2,NM_153207,,,,NM_001114176
HGNC:25722,AEN,NM_022767,,544|1691,Exonucleases|MicroRNA protein coding host genes,NM_022767
HGNC:24017,AFAP1,NM_021638,,682,Pleckstrin homology domain containing,NM_001134647
HGNC:26714,AFAP1L1,NM_152406,,682,Pleckstrin homology domain containing,NM_001146337
HGNC:25901,AFAP1L2,NM_032550,,682,Pleckstrin homology domain containing,NM_001001936
HGNC:7137,AFDN,NM_005936,,1220,PDZ domain containing,NM_001040000
HGNC:21236,AFDN-DT,NR_027906,,,,NR_027906
HGNC:7135,AFF1,NM_005935,,1145|1280,AF4/FMR2 family|Super elongation complex,NM_001166693
HGNC:3776,AFF2,NM_002025,,1145|1280,AF4/FMR2 family|Super elongation complex,NM_001169122
HGNC:6473,AFF3,NM_002285,,1145|1280,AF4/FMR2 family|Super elongation complex,NM_001025108
HGNC:17869,AFF4,NM_014423,,1145|1280,AF4/FMR2 family|Super elongation complex,NM_014423
HGNC:16411,AFG1L,NM_145315,,,,NM_001323005
HGNC:315,AFG3L2,NM_006796,,413,AAA ATPases,NM_006796
HGNC:25951,AFTPH,NM_017657,,1691,MicroRNA protein coding host genes,NM_001002243
HGNC:16922,AGAP1,NM_014914,,403|395|1291,Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing,NM_001037131
HGNC:16921,AGAP2,NM_014770,,403|395|1291,Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing,NM_001122772
HGNC:16923,AGAP3,NM_031946,,403|395|1291,Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing,NM_001042535
HGNC:23459,AGAP4,NM_133446,,403|395|1291,Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing,NM_001276343
HGNC:23467,AGAP5,NM_001144000,,403|395|1291,Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing,NM_001144000
HGNC:23466,AGAP6,NM_001077665,,403|395|1291,Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing,NM_001077665
HGNC:23465,AGAP7P,NM_001077685,,403|395,Ankyrin repeat domain containing|ArfGAPs,NR_126580
HGNC:23463,AGAP9,NM_001190810,,403|395|1291,Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing,NM_001190810
HGNC:29421,AGAP11,NM_133447,,403|395|1291,Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing,NM_133447
HGNC:26504,AGBL1,NM_152336,,1492|1321,Armadillo-like helical domain containing|M14 carboxypeptidases,NM_152336
HGNC:26296,AGBL2,NM_024783,,1321,M14 carboxypeptidases,NM_024783
HGNC:27981,AGBL3,NM_178563,,1321,M14 carboxypeptidases,NM_001345850
HGNC:25892,AGBL4,NM_032785,,1321,M14 carboxypeptidases,NM_001323573
HGNC:26147,AGBL5,NM_021831,,1321,M14 carboxypeptidases,NM_001035507
HGNC:320,AGER,NM_001136,,1253|592|594,Scavenger receptors|C2-set domain containing|Immunoglobulin like domain containing,NM_001136
HGNC:5175,AGFG1,NM_004504,,395|1691,ArfGAPs|MicroRNA protein coding host genes,NM_001135187
HGNC:5177,AGFG2,NM_006076,,395,ArfGAPs,NM_006076
HGNC:24684,AGGF1,NM_018046,,579,G-patch domain containing,NM_018046
HGNC:18424,AGO4,NM_017629,,408,Argonaute/PIWI family,NM_017629
HGNC:20988,AGPAT4-IT1,NR_024277,,,,NR_024277
HGNC:328,AGR2,NM_006408,,692,Protein disulfide isomerases,NM_006408
HGNC:24167,AGR3,NM_176813,,692,Protein disulfide isomerases,NM_176813
HGNC:329,AGRN,NM_198576,,570,Proteoglycans,NM_001305275
