RefSeq1,RefSeq2,gene1,gene2,label
NM_017860,NM_003189,HGNC:26045,HGNC:11556,0
NM_002788,NR_029609,HGNC:9532,HGNC:31498,0
NM_022131,NM_197966,HGNC:17448,HGNC:1050,0
NM_021645,NM_014207,HGNC:20321,HGNC:1685,0
NM_019120,NM_033198,HGNC:8693,HGNC:14937,0
NM_052931,NM_153376,HGNC:21392,HGNC:26900,0
NM_173687,NM_001101330,HGNC:26731,HGNC:51617,0
NM_178451,NM_033131,HGNC:21000,HGNC:15983,0
NR_003036,NM_178815,HGNC:32703,HGNC:23052,0
NM_001001977,NR_145819,HGNC:838,HGNC:53514,0
NM_001832,NM_016016,HGNC:2085,HGNC:24279,0
NM_138442,NM_005413,HGNC:25171,HGNC:10889,0
NM_021943,NM_020154,HGNC:18019,HGNC:24301,0
NM_020814,NM_014939,HGNC:29269,HGNC:29169,0
NM_153042,NM_001103176,HGNC:21577,HGNC:27786,0
NM_012409,NM_006013,HGNC:15748,HGNC:10298,0
NM_000082,NM_001689,HGNC:3439,HGNC:843,0
NM_001145196,NM_144615,HGNC:32006,HGNC:28324,0
NM_004517,NR_030316,HGNC:6040,HGNC:32844,0
NM_003536,NM_021960,HGNC:4775,HGNC:6943,0
NM_178356,NM_005601,HGNC:16613,HGNC:7830,0
NM_145167,NM_001011718,HGNC:18858,HGNC:23062,0
NM_002188,NM_030626,HGNC:5973,HGNC:29346,0
NM_001123228,NM_173800,HGNC:34386,HGNC:26904,0
NM_016047,NG_005047,HGNC:30096,HGNC:21234,0
NR_038847,NM_033053,HGNC:44353,HGNC:13910,0
NR_004388,NM_006387,HGNC:32571,HGNC:16930,0
NM_152716,NM_018056,HGNC:26721,HGNC:25510,0
NM_006491,NR_001448,HGNC:7886,HGNC:212,0
NM_001548,NM_145756,HGNC:5407,HGNC:18824,0
NM_005297,NM_032217,HGNC:4479,HGNC:23575,0
NM_020346,NM_053285,HGNC:16703,HGNC:15534,0
NM_021079,NR_029887,HGNC:7857,HGNC:31770,0
NM_080618,NM_173468,HGNC:16234,HGNC:29801,0
NM_005372,NM_020940,HGNC:7199,HGNC:29320,0
NM_016219,NM_152785,HGNC:6823,HGNC:20253,0
NM_138638,NM_032518,HGNC:1875,HGNC:18603,0
NM_015589,NM_014583,HGNC:23023,HGNC:6633,0
NM_018846,NM_014217,HGNC:15646,HGNC:6277,0
NM_016053,"NM_000503, NM_172060",HGNC:24256,HGNC:3519,0
NM_013262,NM_001277333,HGNC:21155,HGNC:35241,0
NM_138804,NM_001129890,HGNC:25183,HGNC:34303,0
NM_153340,NM_152743,HGNC:28713,HGNC:21701,0
NM_001005201,NM_024539,HGNC:15309,HGNC:21153,0
NM_002988,NR_029893,HGNC:10616,HGNC:31760,0
NM_001002035,NM_016573,HGNC:29966,HGNC:24852,0
NM_001220493,NM_003855,HGNC:32423,HGNC:5988,0
NM_024503,NM_003525,HGNC:13561,HGNC:4756,0
NM_006848,NM_018838,HGNC:24926,HGNC:23987,0
NM_005210,NM_153271,HGNC:2409,HGNC:28468,0
NM_025201,NM_198184,HGNC:30026,HGNC:29961,0
NM_000887,NM_176787,HGNC:6152,HGNC:8967,0
NM_004333,NM_005487,HGNC:1097,HGNC:5003,0
NM_014807,NM_004586,HGNC:29000,HGNC:10432,0
NM_003342,NM_004693,HGNC:12482,HGNC:24431,0
NM_207317,NR_029487,HGNC:23245,HGNC:31547,0
NM_013376,NM_018981,HGNC:17932,HGNC:24637,0
NM_001039752,NM_001145095,HGNC:18057,HGNC:4904,0
NM_001010866,NM_201589,HGNC:33719,HGNC:23145,0
NM_152488,NR_030214,HGNC:26550,HGNC:32124,0
NM_145230,NM_013370,HGNC:21723,HGNC:30093,0
NM_020884,NM_014343,HGNC:15906,HGNC:2036,0
NM_014330,NM_020642,HGNC:14375,HGNC:1170,0
NM_020879,NM_001010889,HGNC:29296,HGNC:30583,0
NM_173651,NM_173527,HGNC:21675,HGNC:20248,0
NM_001012756,NM_172027,HGNC:13499,HGNC:18275,0
NM_004790,NM_012106,HGNC:10970,HGNC:17146,0
NM_006478,NM_020860,HGNC:16955,HGNC:19205,0
NM_001719,NM_015449,HGNC:1074,HGNC:29876,0
NM_006388,NR_030616,HGNC:5275,HGNC:33661,0
NM_000927,NM_003259,HGNC:40,HGNC:5348,0
NM_001009994,NM_020229,HGNC:21390,HGNC:13996,0
NM_021826,NM_178833,HGNC:25790,HGNC:25143,0
NM_017952,NM_052925,HGNC:24717,HGNC:15500,0
NM_145021,NR_029887,HGNC:23356,HGNC:31770,0
NM_001039182,NM_018921,HGNC:32479,HGNC:8707,0
NM_004078,NM_004506,HGNC:2469,HGNC:5225,0
NM_138421,NR_029859,HGNC:25158,HGNC:31765,0
NM_173480,NM_080621,HGNC:13125,HGNC:16129,0
NM_001099218,NM_004132,HGNC:34417,HGNC:4798,0
NM_005806,NR_003694,HGNC:9398,HGNC:33571,0
NM_138381,NM_024610,HGNC:25128,HGNC:16389,0
NM_001145118,NM_000242,HGNC:18464,HGNC:6922,0
NM_024815,NM_001242815,HGNC:26194,HGNC:42966,0
NM_013262,NM_001560,HGNC:21155,HGNC:5974,0
NM_001005463,NM_001280,HGNC:19087,HGNC:1982,0
NM_152577,NM_212558,HGNC:26371,HGNC:33816,0
NM_014729,NM_001159279,HGNC:18988,HGNC:32458,0
NR_038397,NM_138795,HGNC:41228,HGNC:25192,0
NM_014748,NR_002991,HGNC:14979,HGNC:32590,0
NM_015160,NM_002548,HGNC:18667,HGNC:8183,0
NM_005665,NM_002664,HGNC:3501,HGNC:9070,0
NM_020198,NM_001045475,HGNC:24856,HGNC:34300,0
NM_022068,NM_003700,HGNC:26270,HGNC:8244,0
NM_014633,NM_004441,HGNC:16850,HGNC:3392,0
NM_005664,NM_144984,HGNC:7114,HGNC:26470,0
NM_001007232,NM_003382,HGNC:33827,HGNC:12695,0
NM_032871,NM_004630,HGNC:13764,HGNC:12950,0
NG_001333,NM_203373,HGNC:12193,HGNC:27537,0
NM_002910,NR_003343.1,HGNC:9959,HGNC:33045,0
NM_002960,NM_198512,HGNC:10493,HGNC:23250,0
NR_030320,NM_001005286,HGNC:32805,HGNC:15027,0
NR_146153,NM_006505,HGNC:53525,HGNC:9705,0
NM_152283,NM_001622,HGNC:23241,HGNC:349,0
NM_025252,NM_021794,HGNC:14436,HGNC:208,0
NM_152285,NM_001190452,HGNC:28633,HGNC:37155,0
NG_001019,NM_080818,HGNC:5661,HGNC:4531,0
NM_017525,NM_005713,HGNC:29829,HGNC:2205,0
NM_203374,NM_013329,HGNC:33111,HGNC:13579,0
NM_001044369,NR_024229,HGNC:31729,HGNC:34313,0
NM_001018059,NM_003534,HGNC:34409,HGNC:4772,0
NM_019897,NM_021916,HGNC:8276,HGNC:13140,0
NM_002941,NM_031444,HGNC:10249,HGNC:14237,0
NM_001012415,NM_022171,HGNC:27845,HGNC:11692,0
NM_181807,NM_024872,HGNC:20625,HGNC:24583,0
NM_175734,NM_152570,HGNC:27315,HGNC:21207,0
NM_175571,NM_001130002,HGNC:21792,HGNC:25146,0
NM_014245,NM_153836,HGNC:10070,HGNC:14272,0
NM_006958,NM_198527,HGNC:12947,HGNC:30522,0
NM_024027,NM_016231,HGNC:17213,HGNC:29858,0
NM_024917,NM_007242,HGNC:25748,HGNC:2742,0
NR_031705,NM_014700,HGNC:35370,HGNC:17224,0
NM_001074,NM_015251,HGNC:12554,HGNC:29034,0
NM_005549,NM_138413,HGNC:6219,HGNC:25155,0
NM_001004739,NG_000002,HGNC:8351,HGNC:5901,0
NR_002590,NM_198547,HGNC:32634,HGNC:24802,0
NM_139250,NM_152484,HGNC:24198,HGNC:24737,0
NM_182610,NM_020447,HGNC:25394,HGNC:24695,0
NM_015117,NM_024098,HGNC:28972,HGNC:28359,0
NM_006478,NM_030949,HGNC:16955,HGNC:14952,0
NM_018652,NM_025220,HGNC:32205,HGNC:15478,0
NM_005449,NM_173484,HGNC:14315,HGNC:18830,0
NM_022764,NM_152416,HGNC:25778,HGNC:28625,0
NM_020774,NM_012211,HGNC:21086,HGNC:6136,0
NM_001039111,NR_029625,HGNC:32669,HGNC:31589,0
NM_057176,NG_001019,HGNC:16512,HGNC:5623,0
NM_001280,NM_001001791,HGNC:1982,HGNC:31008,0
NM_201453,NM_016063,HGNC:18519,HGNC:21078,0
NM_019086,NM_002748,HGNC:26078,HGNC:6879,0
NM_005817,NM_004185,HGNC:16893,HGNC:12781,0
NM_001085480,NM_004549,HGNC:21549,HGNC:7706,0
NR_030308,NM_022353,HGNC:32838,HGNC:23075,0
NM_174923,NR_073154,HGNC:28465,HGNC:32047,0
NM_001039182,NM_020732,HGNC:32479,HGNC:18040,0
NM_005578,NM_032593,HGNC:6679,HGNC:18344,0
NM_017759,NM_001080542,HGNC:25997,HGNC:24674,0
NM_032435,NM_016424,HGNC:29798,HGNC:24309,0
NR_002749,NG_001332,HGNC:10184,HGNC:12123,0
NM_001080437,NM_006690,HGNC:24696,HGNC:7172,0
NM_017416,NM_173810,HGNC:5997,HGNC:28432,0
NM_180982,NM_000095,HGNC:16655,HGNC:2227,0
NM_001308491,NM_001048252,HGNC:17216,HGNC:31110,0
NM_194281,NR_104080,HGNC:26994,HGNC:34269,0
NM_003063,NM_053044,HGNC:11089,HGNC:30406,0
NR_002991,NM_012231,HGNC:32590,HGNC:9347,0
NM_023034,NM_016571,HGNC:12767,HGNC:21016,0
NR_030637,NM_015952,HGNC:33684,HGNC:20993,0
NM_148911,NM_017447,HGNC:15781,HGNC:16459,0
NM_016449,NM_015585,HGNC:28031,HGNC:15872,0
NM_003504,NR_000025,HGNC:1739,HGNC:16649,0
NM_015885,NM_003025,HGNC:30097,HGNC:10830,0
NM_003118,NM_145648,HGNC:11219,HGNC:23090,0
NM_001005178,NM_003598,HGNC:15239,HGNC:11715,0
NM_024111,NM_025187,HGNC:28680,HGNC:29564,0
NM_014945,NM_020194,HGNC:29132,HGNC:24858,0
NM_006181,NM_032378,HGNC:8030,HGNC:3211,0
NM_018058,NM_173528,HGNC:14882,HGNC:26782,0
NM_020236,NM_173517,HGNC:14275,HGNC:21492,0
NM_017530,NM_001002035,HGNC:28043,HGNC:29966,0
XR_000169,NM_016500,HGNC:13396,HGNC:28790,0
NM_145001,NR_028272,HGNC:28317,HGNC:30815,0
NM_021961,NM_138357,HGNC:11714,HGNC:23526,0
NM_001080830,NM_032753,HGNC:22125,HGNC:18286,0
NM_152618,NM_016275,HGNC:26648,HGNC:18136,0
NM_015289,NM_022367,HGNC:20593,HGNC:10729,0
NM_001134888,NM_031274,HGNC:14665,HGNC:11735,0
NM_021916,NM_007244,HGNC:13140,HGNC:18020,0
NM_152266,NM_015444,HGNC:28467,HGNC:30293,0
NM_032227,NM_005174,HGNC:26217,HGNC:833,0
NM_203390,NR_038962,HGNC:32310,HGNC:44156,0
NM_006460,NM_020345,HGNC:24953,HGNC:17899,0
NM_033198,NM_032126,HGNC:14937,HGNC:25366,0
NM_145734,NM_017509,HGNC:10750,HGNC:20453,0
NM_020467,NM_001164416,HGNC:26918,HGNC:27867,0
NM_024685,NM_001012762,HGNC:26291,HGNC:28005,0
NM_001037813,NR_145820,HGNC:13078,HGNC:53515,0
NM_001306084,NR_003214.1,HGNC:26456,HGNC:33009,0
NR_026838,NM_194271,HGNC:16707,HGNC:17297,0
NM_012238,NM_033212,HGNC:14929,HGNC:28097,0
NM_000306,NM_181430,HGNC:9210,HGNC:6036,0
NM_004337,NM_181873,HGNC:1355,HGNC:24307,0
NM_181725,NR_002715,HGNC:25755,HGNC:10038,0
NM_015346,NM_020632,HGNC:20761,HGNC:866,0
NM_006156,YP_003024032,HGNC:7732,HGNC:7422,0
NM_019610,NM_032796,HGNC:25073,HGNC:16273,0
NM_014982,NM_002335,HGNC:19740,HGNC:6697,0
NM_203346,NM_019042,HGNC:4857,HGNC:26033,0
NM_152701,NM_025000,HGNC:14638,HGNC:25784,0
NM_198524,NM_198947,HGNC:29585,HGNC:24200,0
NM_133498,NM_207308,HGNC:16441,HGNC:29915,0
NM_015062,NM_017970,HGNC:30025,HGNC:20186,0
NM_004506,NM_001005211,HGNC:5225,HGNC:14718,0
NM_005620,NM_016582,HGNC:10488,HGNC:18068,0
NM_012394,NR_030596,HGNC:8867,HGNC:33652,0
NM_001080526,NM_002909,HGNC:3563,HGNC:9951,0
NM_005961,NM_001217,HGNC:7517,HGNC:1370,0
NM_033388,NR_029485,HGNC:25464,HGNC:31543,0
NM_018433,NM_198723,HGNC:20815,HGNC:11614,0
NM_174938,NM_001098169,HGNC:24125,HGNC:20450,0
NM_198571,NM_005905,HGNC:22030,HGNC:6774,0
NR_029599,NM_144980,HGNC:31628,HGNC:21233,0
NR_029852,NR_030266,HGNC:32023,HGNC:32532,0
NM_004319,NM_001044369,HGNC:773,HGNC:31729,0
NM_001283043,NM_005810,HGNC:17770,HGNC:6380,0
NM_002245,NM_001146684.2,HGNC:6272,HGNC:34517,0
NM_030969,NM_020354,HGNC:21384,HGNC:19745,0
NR_023377,NM_003692,HGNC:34376,HGNC:11866,0
NM_032641,NM_014727,HGNC:29522,HGNC:15840,0
NM_001350989,NR_002324,HGNC:16086,HGNC:10107,0
NM_025078,NM_207312,HGNC:26188,HGNC:20765,0
NM_178459,NM_017518,HGNC:16247,HGNC:32979,0
NM_017851,NM_201453,HGNC:26040,HGNC:18519,0
NM_001101389,NM_017677,HGNC:37218,HGNC:16825,0
NM_014267,NM_024665,HGNC:16990,HGNC:29529,0
NM_013438,NR_106970,HGNC:12508,HGNC:50265,0
NM_031956,NR_002575,HGNC:29936,HGNC:32617,0
NR_031722,NM_032935,HGNC:35385,HGNC:18705,0
NM_003603,NR_024228,HGNC:24098,HGNC:34311,0
NM_001135865,NM_003220,HGNC:37233,HGNC:11742,0
NM_177963,NM_053278,HGNC:18381,HGNC:14964,0
NR_024079,NM_003787,HGNC:28668,HGNC:7870,0
NM_003299,NM_022484,HGNC:12028,HGNC:25826,0
NM_018201,NM_018306,HGNC:25571,HGNC:25620,0
NM_007168,NM_006408,HGNC:38,HGNC:328,0
NM_173826,NM_138346,HGNC:25241,HGNC:28513,0
NG_000002,NM_024029,HGNC:5908,HGNC:28476,0
NM_002275,NM_005477,HGNC:6421,HGNC:16882,0
NM_032881,NR_030223,HGNC:17562,HGNC:32133,0
NM_020871,NM_022899,HGNC:29292,HGNC:14672,0
NM_198081,NM_012210,HGNC:21397,HGNC:16380,0
NM_016204,NM_001144981,HGNC:4217,HGNC:34361,0
NM_000608,NR_003216.1,HGNC:8499,HGNC:33011,0
NM_018066,NM_012287,HGNC:25513,HGNC:16469,0
NM_025204,NM_001008494,HGNC:28805,HGNC:28084,0
NM_001008408,NR_029677,HGNC:27223,HGNC:31520,0
NR_004426,NM_022375,HGNC:37500,HGNC:8103,0
NM_001099289,NM_018845,HGNC:24699,HGNC:30657,0
NM_175064,NM_015671,HGNC:16408,HGNC:24502,0
NM_014963,NM_016118,HGNC:29158,HGNC:17623,0
NM_002569,NG_011771,HGNC:8568,HGNC:5637,0
NM_000934,NM_006758,HGNC:9075,HGNC:12453,0
NM_001002912,NM_198498,HGNC:25346,HGNC:30527,0
NM_001101357,NM_032320,HGNC:37286,HGNC:21445,0
NR_029480,NM_001646,HGNC:31480,HGNC:611,0
NM_001417,NR_003018,HGNC:3285,HGNC:32657,0
NM_016648,NM_001243466,HGNC:24912,HGNC:19164,0
NM_021078,NR_037945.1,HGNC:4201,HGNC:41993,0
NM_007014,NM_024706,HGNC:16804,HGNC:25821,0
NM_024834,NM_022831,HGNC:25782,HGNC:25761,0
NM_015029,NM_144653,HGNC:30129,HGNC:23846,0
NM_001017979,NM_001383,HGNC:9768,HGNC:3003,0
NM_001105581,NM_000460,HGNC:30219,HGNC:11795,0
NM_014067,NM_198468,HGNC:29598,HGNC:21475,0
NM_194282,NR_145730,HGNC:25397,HGNC:52194,0
NM_001145250,NR_030374,HGNC:30690,HGNC:32900,0
NM_005045,NM_207327,HGNC:9957,HGNC:33710,0
NM_001194,NM_006361,HGNC:4846,HGNC:5112,0
NR_031728,NR_029513,HGNC:35391,HGNC:31649,0
NM_014650,NM_138285,HGNC:20810,HGNC:29797,0
NM_001351303,NM_173469,HGNC:32962,HGNC:19248,0
NM_016579,NM_004723,HGNC:16692,HGNC:682,0
NM_024941,NR_003309.1,HGNC:25828,HGNC:33036,0
NM_020685,NM_001395,HGNC:25024,HGNC:3076,0
NM_012382,NR_027932,HGNC:29959,HGNC:29841,0
NM_016232,NM_007159,HGNC:5998,HGNC:16643,0
NM_014503,NM_030755,HGNC:17897,HGNC:15487,0
NM_152784,NM_000099,HGNC:28598,HGNC:2475,0
NM_175902,NM_020245,HGNC:26174,HGNC:15530,0
NR_158158,NG_000834,HGNC:33206,HGNC:5716,0
NM_181512,NM_001745,HGNC:14479,HGNC:1471,0
NM_016649,NM_018081,HGNC:15898,HGNC:25522,0
NM_152278,NM_004992,HGNC:28336,HGNC:6990,0
NR_003033,NM_014935,HGNC:32702,HGNC:17053,0
"NM_004961, NM_021990, NM_021984",NM_016355,HGNC:4085,HGNC:18682,0
NM_003133,XM_930581,HGNC:11304,HGNC:33112,0
NM_017584,NM_001077624,HGNC:14522,HGNC:27260,0
NM_002282,NM_000377,HGNC:6460,HGNC:12731,0
NM_001029939,NM_020193,HGNC:19899,HGNC:18071,0
NM_207042,NR_003324,HGNC:3360,HGNC:33075,0
NM_020154,NM_016492,HGNC:24301,HGNC:17679,0
NM_006573,NM_005098,HGNC:11929,HGNC:7321,0
NM_145018,NM_021637,HGNC:26351,HGNC:25864,0
NM_021077,NM_175902,HGNC:7842,HGNC:26174,0
NM_032193,NM_145654,HGNC:24116,HGNC:19950,0
NM_145045,NG_000834,HGNC:28303,HGNC:5817,0
NM_001004749,NM_138569,HGNC:15188,HGNC:21355,0
NM_018944,NM_001832,HGNC:1286,HGNC:2085,0
NM_178554,NM_001080790,HGNC:26576,HGNC:31909,0
NM_000315,NM_018052,HGNC:9606,HGNC:25507,0
NM_000621,NM_181076,HGNC:5293,HGNC:31972,0
NM_032018,NM_032237,HGNC:25356,HGNC:26267,0
NM_030639,NM_002538,HGNC:29353,HGNC:8104,0
NM_032411,NM_173647,HGNC:24642,HGNC:23137,0
NM_004968,NM_000871,HGNC:5343,HGNC:5301,0
NM_005547,NM_012308,HGNC:6187,HGNC:13606,0
NM_006828,NM_005142,HGNC:18697,HGNC:4268,0
NM_001134336,NM_001085,HGNC:22209,HGNC:16,0
NR_024346,NM_014602,HGNC:33605,HGNC:8982,0
NM_002569,NM_004858,HGNC:8568,HGNC:11034,0
NM_002332,NM_016496,HGNC:6692,HGNC:28038,0
NM_018638,NM_130759,HGNC:24649,HGNC:23237,0
NM_138391,NM_206831,HGNC:20173,HGNC:27717,0
NM_003100,NM_032494,HGNC:11173,HGNC:30941,0
NM_000538,NM_144644,HGNC:9988,HGNC:17333,0
NM_020967,NM_003626,HGNC:15909,HGNC:9245,0
NM_138371,NM_021640,HGNC:28255,HGNC:17590,0
NR_024223,NM_152681,HGNC:34308,HGNC:26775,0
NM_006374,NM_001408,HGNC:11404,HGNC:3231,0
NM_002767,NM_016522,HGNC:9467,HGNC:17941,0
NR_146617,NM_197957,HGNC:26447,HGNC:6913,0
NM_005514,NM_004371,HGNC:4932,HGNC:2230,0
NM_021960,NM_030664,HGNC:6943,HGNC:9590,0
NR_001445,NM_006665,HGNC:10037,HGNC:5164,0
NM_022918,NM_006197,HGNC:26167,HGNC:8727,0
NM_020796,NM_015666,HGNC:10738,HGNC:16239,0
NM_001647,NM_032102,HGNC:612,HGNC:16988,0
NM_016491,NM_017731,HGNC:14034,HGNC:16387,0
"NM_004244, NM_203416",NM_000871,HGNC:1631,HGNC:5301,0
NM_020924,NM_014761,HGNC:23383,HGNC:28977,0
NM_001039905,NM_014461,HGNC:33868,HGNC:2176,0
NR_003139,NM_003754,HGNC:32559,HGNC:3275,0
NR_027294,NR_002962,HGNC:27239,HGNC:32613,0
NM_005370,NM_019590,HGNC:7007,HGNC:25428,0
NM_019060,NM_003061,HGNC:29875,HGNC:11085,0
NM_006531,NM_031463,HGNC:20606,HGNC:16475,0
NM_138385,NM_014567,HGNC:25137,HGNC:971,0
NM_024057,NM_000076,HGNC:29929,HGNC:1786,0
NM_025229,NM_001005324,HGNC:15897,HGNC:15136,0
NM_144708,NM_001143967,HGNC:26350,HGNC:34532,0
NM_021239,NM_000443,HGNC:23244,HGNC:45,0
NM_002255,NM_014380,HGNC:6332,HGNC:13388,0
NM_198573,NM_021215,HGNC:24838,HGNC:16209,0
NR_145725,NM_006873,HGNC:52210,HGNC:17003,0
NM_080606,NM_018652,HGNC:16093,HGNC:32205,0
NM_001242672,NR_001564,HGNC:34297,HGNC:12810,0
NM_014783,NM_018647,HGNC:15783,HGNC:11915,0
NM_000525,NM_014853,HGNC:6257,HGNC:29026,0
NM_004821,NM_001127441,HGNC:4807,HGNC:15722,0
NM_018925,NM_002167,HGNC:8712,HGNC:5362,0
NM_001004065,NM_020165,HGNC:372,HGNC:18278,0
NM_003511,NM_005660,HGNC:4730,HGNC:11022,0
NM_130769,NM_025069,HGNC:18054,HGNC:25883,0
NM_014051,NM_014271,HGNC:21076,HGNC:5996,0
NM_017849,NM_014157,HGNC:26038,HGNC:25002,0
NM_024554,NM_003585,HGNC:19405,HGNC:2986,0
NM_181783,NM_181842,HGNC:26899,HGNC:19066,0
NR_027331,NM_003641,HGNC:34426,HGNC:5412,0
XR_041347,NR_002969,HGNC:34548,HGNC:32628,0
NM_001278522,NM_022817,HGNC:28693,HGNC:8846,0
NM_001005218,NM_001782,HGNC:19616,HGNC:1696,0
NM_172234,NM_012210,HGNC:18015,HGNC:16380,0
NM_014802,NM_018663,HGNC:29062,HGNC:9716,0
NM_001048201,NG_013116.1,HGNC:12556,HGNC:34004,0
NM_001760,NM_001127388,HGNC:1585,HGNC:37265,0
NM_145793,NM_004040,HGNC:4243,HGNC:668,0
NM_016138,NM_144736,HGNC:2244,HGNC:28816,0
NM_001024607,NG_012782,HGNC:33712,HGNC:34294,0
NM_001080140,NM_002961,HGNC:33288,HGNC:10494,0
NM_012100,NM_018955,HGNC:2981,HGNC:12463,0
NR_045180,NM_012427,HGNC:39933,HGNC:6366,0
NM_017703,NG_032089,HGNC:13611,HGNC:43746,0
NM_173565,NM_021013,HGNC:27362,HGNC:6452,0
NM_001033046,NM_017969,HGNC:28672,HGNC:25467,0
NM_021639,NM_001256863,HGNC:28843,HGNC:44450,0
NM_003012,NR_023311,HGNC:10776,HGNC:12921,0
NM_002055,NM_004888,HGNC:4235,HGNC:864,0
NR_145738,NM_001123391,HGNC:52245,HGNC:19031,0
NM_000417,NM_152456,HGNC:6008,HGNC:28529,0
NM_005045,NM_000466,HGNC:9957,HGNC:8850,0
NM_203422,NM_032128,HGNC:33724,HGNC:23088,0
NM_004480,NM_020475,HGNC:4019,HGNC:492,0
NM_152491,NM_001144950,HGNC:26518,HGNC:26641,0
NM_173580,NM_000231,HGNC:26805,HGNC:10809,0
NM_001004477,NM_001005407,HGNC:14995,HGNC:1395,0
NM_020461,NM_012272,HGNC:18127,HGNC:25031,0
NM_001643,NM_001001795,HGNC:601,HGNC:33826,0
NM_001004700,NR_029847,HGNC:15167,HGNC:31611,0
NM_017692,NM_022095,HGNC:15984,HGNC:15807,0
NM_001586,NM_016442,HGNC:2563,HGNC:18173,0
NM_015938,NM_001080515,HGNC:24250,HGNC:33277,0
